id;name;category
1;Sir James Paul McCartney, CH MBE;singer
2;FRANZ VON HOLZHAUSEN;tech
3;DR. JANE GOODALL, DB;tech
4;PROF. JENNIFER A. DOUDNA, Ph.D;tech
5;MAE JEMISON;tech
7;TU YOUYOU;tech
8;JEFF BEZOS;business
9;NAVAL RAVIKANT;business
10;RAY DALIO;business
11;ABIGAIL JOHNSON;business
12;WHITNEY WOLFE HERD;business
13;JACK MA;business
14;NERI OXMAN;tech
16;IRIS VAN HERPEN;business
17;MERYL STREEP;actor
18;YO-YO MA;singer
19;HAYAO MIYAZAKI;actor
20;CHIMAMANDA NGOZI ADICHIE;actor
21;LIN-MANUEL MIRANDA;actor
23;TAYLOR SWIFT;singer
25;SIMONE BILES;tennis
26;ALEX HONNOLD;tennis
27;LIONEL MESSI;football
28;ALEX COOPER;business
29;DAVID ATTENBOROUGH;actor
30;JOSÉ ANDRÉS;business
31;NASSIM NICHOLAS TALEB;business
32;Beyoncé Knowles-Carter;singer
33;Adele Adkins;singer
34;Ed Sheeran;singer
35;Lady Gaga;singer
36;Shakira Mebarak;singer
37;Rihanna Fenty;singer
39;Alicia Keys;singer
40;John Legend;singer
41;Stevie Wonder;singer
42;Dolly Parton;singer
43;Willie Nelson;singer
44;Andrea Bocelli;singer
45;Placido Domingo;singer
48;Paul Simon;singer
49;Art Garfunkel;singer
50;Elton John;singer
51;Celine Dion;singer
52;Barbra Streisand;singer
53;Jennifer Lopez;singer
54;Kendrick Lamar;singer
55;Chance the Rapper;singer
56;Luis Fonsi;singer
57;Bad Bunny;singer
58;Chris Martin;singer
59;Bono;singer
61;Harry Styles;singer
62;Lizzo;singer
63;Josh Groban;singer
64;Michael Bublé;singer
65;Kacey Musgraves;singer
66;Jason Mraz;singer
67;Hozier;singer
68;Sara Bareilles;singer
69;Gloria Estefan;singer
70;Enrique Iglesias;singer
71;Juanes;singer
73;Erykah Badu;singer
74;Janelle Monáe;singer
75;Sam Smith;singer
76;Maren Morris;singer
77;RM (Kim Nam-joon);singer
78;Hope Sandoval;singer
79;Olivia Rodrigo;singer
80;Bill Withers;singer
81;Norah Jones;singer
82;Carole King;singer
83;Stevie Nicks;singer
84;Peter Gabriel;singer
86;Imogen Heap;singer
87;Sting;singer
88;Bryan Adams;singer
89;Matt Bellamy;singer
90;Florence Welch;singer
93;Charlie Puth;singer
94;Billy Joel;singer
95;Denzel Washington;actor
96;Emma Watson;actor
97;Leonardo DiCaprio;actor
98;Keanu Reeves;actor
99;Tom Hanks;actor
100;Viola Davis;actor
101;Robert Downey Jr.;actor
102;Scarlett Johansson;actor
103;Zendaya Coleman;actor
104;Gal Gadot;actor
105;Mahershala Ali;actor
106;Natalie Portman;actor
107;Rami Malek;actor
109;Brie Larson;actor
110;Jennifer Lawrence;actor
111;Chris Evans;actor
112;Mark Ruffalo;actor
113;Chadwick Boseman;actor
114;Emily Blunt;actor
115;Ryan Gosling;actor
116;Eddie Redmayne;actor
117;Lupita Nyong’o;actor
118;Idris Elba;actor
119;Sandra Bullock;actor
120;George Clooney;actor
121;Matt Damon;actor
122;Cate Blanchett;actor
123;Kate Winslet;actor
126;Mindy Kaling;actor
128;Awkwafina;actor
129;Rachel McAdams;actor
130;Donald Glover;actor
131;Willem Dafoe;actor
132;Tessa Thompson;actor
133;Brian Tyree Henry;actor
135;John Krasinski;actor
136;Paul Rudd;actor
137;Kumail Nanjiani;actor
138;Reese Witherspoon;actor
139;Tony Leung;actor
140;Ken Watanabe;actor
141;Zhang Ziyi;actor
142;Maggie Cheung;actor
143;Gong Li;actor
144;Jackie Chan;actor
145;Jet Li;actor
146;Donnie Yen;actor
147;Michelle Yeoh;actor
148;Simu Liu;actor
149;Tom Cruise;actor
150;Will Smith;actor
151;Angelina Jolie;actor
152;Brad Pitt;actor
153;Morgan Freeman;actor
154;Natalie Dormer;actor
156;Saoirse Ronan;actor
157;Anne Hathaway;actor
158;Glenn Close;actor
159;Harrison Ford;actor
160;Arnold Schwarzenegger;actor
161;Sylvester Stallone;actor
162;Robert De Niro;actor
163;Al Pacino;actor
165;Cristiano Ronaldo;football
166;Kylian Mbappé;football
167;Erling Haaland;football
168;Kevin De Bruyne;football
169;Virgil van Dijk;football
170;Mohamed Salah;football
171;Sadio Mané;football
172;N’Golo Kanté;football
173;Marcus Rashford;football
174;Son Heung-min;football
175;Harry Kane;football
176;Robert Lewandowski;football
177;Thomas Müller;football
178;Joshua Kimmich;football
179;Alphonso Davies;football
180;Megan Rapinoe;football
182;Sam Kerr;football
183;Lucy Bronze;football
184;Christian Pulisic;football
185;Trent Alexander-Arnold;football
186;Jude Bellingham;football
187;Pedri González;football
188;Gavi Páez;football
189;Vinícius Júnior;football
190;Rodrygo Goes;football
191;Marc-André ter Stegen;football
192;Jan Oblak;football
193;Thibaut Courtois;football
194;Karim Benzema;football
195;Luka Modrić;football
197;Ángel Di María;football
198;Antoine Griezmann;football
199;Raphaël Varane;football
200;João Félix;football
201;Bukayo Saka;football
202;Declan Rice;football
203;Jamal Musiala;football
204;Khvicha Kvaratskhelia;football
205;Victor Osimhen;football
206;Ada Hegerberg;football
208;Aitana Bonmatí;football
209;Caroline Graham Hansen;football
210;Alexia Putellas;football
211;Marta Vieira da Silva;football
212;Christine Sinclair;football
213;Didier Drogba;football
214;Samuel Eto’o;football
215;George Weah;football
216;Zlatan Ibrahimović;football
217;Gary Lineker;football
218;Andrés Iniesta;football
219;Xavi Hernández;football
220;Carles Puyol;football
222;Kaká;football
223;Roberto Carlos;football
224;Fabio Cannavaro;football
225;Paolo Maldini;football
226;Giorgio Chiellini;football
227;Gianluigi Buffon;football
229;Mia Hamm;football
231;Rafael Nadal;tennis
232;Novak Djokovic;tennis
233;Serena Williams;tennis
234;Venus Williams;tennis
235;Coco Gauff;tennis
236;Naomi Osaka;tennis
237;Carlos Alcaraz;tennis
238;Simona Halep;tennis
239;Iga Świątek;tennis
240;Aryna Sabalenka;tennis
241;Ons Jabeur;tennis
242;Ashleigh Barty;tennis
243;Jannik Sinner;tennis
244;Stefanos Tsitsipas;tennis
245;Dominic Thiem;tennis
246;Andy Murray;tennis
247;Stan Wawrinka;tennis
248;Alexander Zverev;tennis
249;Daniil Medvedev;tennis
250;Felix Auger-Aliassime;tennis
251;Nick Kyrgios;tennis
252;Emma Raducanu;tennis
253;Leylah Fernandez;tennis
254;Elina Svitolina;tennis
255;Petra Kvitová;tennis
256;Victoria Azarenka;tennis
257;Angelique Kerber;tennis
259;Madison Keys;tennis
260;Taylor Fritz;tennis
261;Frances Tiafoe;tennis
262;Sebastian Korda;tennis
263;Martina Navratilova;tennis
264;Chris Evert;tennis
265;Billie Jean King;tennis
266;Björn Borg;tennis
267;Rod Laver;tennis
269;Jimmy Connors;tennis
270;Ken Rosewall;tennis
271;Margaret Court;tennis
272;Evonne Goolagong;tennis
273;Gabriela Sabatini;tennis
274;Monica Seles;tennis
275;Justine Henin;tennis
276;Kim Clijsters;tennis
277;Garbiñe Muguruza;tennis
278;Steffi Graf;tennis
279;Boris Becker;tennis
280;Warren Buffett;business
281;Yvon Chouinard;business
282;Sara Blakely;business
283;Howard Schultz;business
284;Indra Nooyi;business
285;Sundar Pichai;business
286;Satya Nadella;business
287;Tim Cook;business
288;Melinda French Gates;business
289;Larry Page;business
290;Sergey Brin;business
291;Marillyn Hewson;business
292;Mary Barra;business
294;Marc Benioff;business
295;Stewart Butterfield;business
296;Daniel Ek;business
297;Patrick Collison;business
298;John Collison;business
299;Anne Wojcicki;business
300;Oprah Winfrey;business
301;Richard Branson;business
302;Mukesh Ambani;business
303;Gautam Adani;business
305;Zhang Yiming;business
306;Pony Ma;business
307;Lei Jun;business
308;Cheng Wei;business
309;Cher Wang;business
310;Jean Liu;business
312;Peter Thiel;business
313;Chamath Palihapitiya;business
314;Michael Bloomberg;business
316;Mark Cuban;business
317;Mark Zuckerberg;business
319;Max Levchin;business
320;Dustin Moskovitz;business
321;Pierre Omidyar;business
322;Esther Dyson;business
323;Li Ka-shing;business
324;George Soros;business
325;Jamie Dimon;business
326;Adena Friedman;business
327;Suze Orman;business
328;Robert F. Smith;business
329;Paul Polman;business
330;Muhammad Yunus;business
331;Francoise Bettencourt Meyers;business
332;Bernard Arnault;business
333;Robert Iger;business
334;Kevin Johnson;business
335;Fred Smith;business
336;Jim Sinegal;business
337;Tadashi Yanai;business
338;Chip Wilson;business
339;Kevin Plank;business
340;Phil Knight;business
341;Ken Langone;business
342;Mo Ibrahim;business
344;Yoshiko Shinohara;business
345;Elon Musk;tech
346;Sam Altman;tech
347;Demis Hassabis;tech
348;Andrew Ng;tech
349;Jeff Dean;tech
350;Ian Goodfellow;tech
351;Fei-Fei Li;tech
352;Timnit Gebru;tech
353;Yoshua Bengio;tech
354;Geoffrey Hinton;tech
355;Ilya Sutskever;tech
356;Miranda Bogen;tech
357;Rumman Chowdhury;tech
358;Joy Buolamwini;tech
359;Brad Smith;tech
360;Kate Crawford;tech
361;Margaret Mitchell;tech
362;Werner Vogels;tech
363;Guido van Rossum;tech
364;Linus Torvalds;tech
365;Mark Russinovich;tech
366;James Gosling;tech
367;Brendan Eich;tech
369;Changpeng Zhao;tech
370;Brian Armstrong;tech
371;Jack Dorsey;tech
372;Evan Spiegel;tech
374;Mike Krieger;tech
375;Drew Houston;tech
376;Arvind Krishna;tech
377;Lisa Su;tech
378;Jensen Huang;tech
380;Parag Agrawal;tech
382;Shivon Zilis;tech
383;Reshma Saujani;tech
384;Susan Wojcicki;tech
385;Alexis Ohanian;tech
386;Anne Aaron;tech
387;Leah Culver;tech
388;Steve Wozniak;tech
389;Bill Gates;tech
390;John Carmack;tech
391;Jimmy Wales;tech
392;Brewster Kahle;tech
393;Larry Ellison;tech
394;Charles Hoskinson;tech
395;Martine Rothblatt;tech
396;Parisa Tabriz;tech
397;Bjarne Stroustrup;tech
398;Ken Thompson;tech
399;Grace Hopper;tech
400;Adele Goldberg;tech
401;Aanchal Malhotra;business
402;Abdallah Abouelenein;tech
403;Agnes Gund;business
404;Ai Tong;tech
405;Ai Weiwei;actor
406;Alan Lightman;tech
407;Alina Morse;business
408;Alison Bechdel;actor
409;Amanda Gorman;actor
410;Amitabh Kant;tech
412;Andrei Linde;tech
413;Anshu Gupta;business
414;Arthur Zang;tech
415;Arunachalam Muruganantham;tech
416;Aryan Mishra;tech
417;Audrey Tang;tech
418;Autumn Peltier;business
419;Bayo Akomolafe;business
420;Ben Goertzel;tech
421;Bethlehem Tilahun Alemu;business
422;Brené Brown;actor
423;Bret Victor;tech
424;Bruno Giussani;business
425;Bryan Johnson;business
426;Bryan Stevenson;business
427;Cardinal Peter Turkson;business
428;Carlo Rovelli;tech
430;Chris Sacca;business
431;Christiana Figueres;business
433;Dalai Lama;business
434;Devin Oliver;tech
435;Diana Beresford-Kroeger;tech
436;Diébédo Francis Kéré;tech
438;Dylan Field;tech
439;E.O. Wilson;tech
440;Eliud Kipchoge;football
441;Emily Pilloton-Lam;tech
442;Emmanuelle Charpentier;tech
443;Esther Lafferty;tech
444;FKA Twigs;singer
445;Feng Zhang;tech
446;Fionn Ferreira;tech
447;Gitanjali Rao;tech
448;Guadalupe Hernandez;business
449;Haile Gebrselassie;football
450;Hamdi Ulukaya;business
451;Hans Rosling;tech
452;Hindou Oumarou Ibrahim;tech
453;Hjalmar Nilsonne;tech
454;Hla Hla Win;business
455;Hugh Herr;tech
456;Iddris Sandu;tech
457;Isha Datar;tech
458;Jacob Collier;singer
459;Jacqueline Novogratz;business
460;"James ""Radio"" Kennedy";business
461;James Tour;tech
462;Jane Goodall;business
464;Jennifer Doudna;tech
466;Jiro Ono;business
467;John Goodenough;tech
468;Jon Batiste;singer
470;Jon Waterhouse;tech
471;Jonathan Haidt;business
472;Jony Ive;tech
473;Jordan Rancie;tech
476;Kate Raworth;business
477;Katherine Hayhoe;tech
478;Katie Bouman;tech
479;Kevin Abstract;singer
480;Kiran Mazumdar-Shaw;business
481;Kizzmekia Corbett;tech
482;Laurene Powell Jobs;business
483;LeBron James;football
484;Leah Thomas;business
486;Limor Fried;tech
487;Linda Rothenberg;business
488;Liu Zihong;tech
489;Luang Por Dhammajayo;business
490;Luis von Ahn;tech
491;MacKenzie Scott;business
492;Marc Andreessen;business
493;Maria Popova;business
494;Marian Croak;tech
495;Marina Gorbis;business
496;Mark Rober;tech
497;Mary Robinson;business
498;May Mahboob;tech
499;Melanie Perkins;tech
500;Memory Banda;business
501;Michaela Coel;actor
502;Michelle Alexander;business
503;Michelle Simmons;tech
504;Mike Cannon-Brookes;business
505;Mohammed Ibrahim;business
506;Nandan Nilekani;tech
507;Nemonte Nenquimo;tech
508;Nonny de la Peña;tech
509;Palmer Luckey;tech
510;Pardis Sabeti;tech
511;Paul McCartney;singer
512;Peter Attia;tech
513;Phoebe Waller-Bridge;actor
514;Riz Ahmed;actor
515;Robert Jackson;business
516;Robin Wall Kimmerer;business
519;Sal Khan;tech
520;Samaira Mehta;tech
521;Sara Seager;tech
522;Sarah Friar;business
523;Sebastião Salgado;tech
525;Simone Giertz;tech
526;Sonam Wangchuk;tech
527;Stephen Curry;football
528;Strive Masiyiwa;business
529;Sulak Sivaraksa;business
530;Taika Waititi;actor
531;Tarana Burke;business
532;Thomas Heatherwick;tech
533;Tim Berners-Lee;tech
535;Tony Xu;business
536;Tyler Cowen;business
537;Tyler Perry;actor
538;Vandana Shiva;business
539;Vinod Khosla;business
540;Wei Fei;business
541;William Kamkwamba;tech
542;Xóchitl Guadalupe Cruz López;tech
543;Yuval Noah Harari;actor
544;Zaila Avant-garde;tech
545;Ziauddin Sardar;business
